,Compound Score,Negative Score,Neutral Score,News Organization,Positive Score,Tweet,Tweet Number
0,0.0,0.0,1.0,@BBC,0.0,🏃🏻‍♂️ Take a #parkour tour of Glasgow with Scotland's @RobbieJGriffith. https://t.co/SlvAKocTJ2,0
1,-0.5526,0.251,0.656,@BBC,0.093,"RT @BBCSport: Stop EVERYTHING you are doing! ✋✋✋

Cancel your wedding! 👰
Don't go shopping! 🛍
The holiday can wait! ✈️
Forget that first da…",1
2,-0.4019,0.15,0.773,@BBC,0.077,"RT @bbceastenders: “I realised what an important story it was to tell.”
@Bonnie_Langford and @DavoodGhadami discuss the knife crime storyli…",2
3,-0.4767,0.221,0.674,@BBC,0.105,"RT @bbcthree: ""He was stabbed eleven times in eight seconds""
The heartbreaking true stories behind the #EastEnders storyline.

If you have…",3
4,-0.6486,0.301,0.699,@BBC,0.0,RT @BBCNews: Steve Ditko: Spider-Man co-creator found dead at 90 https://t.co/Epd0LTJUKP,4
5,-0.34,0.16,0.738,@BBC,0.102,"Seven years after her death, these previously unseen photographs show Amy Winehouse at ease in front of her friend'… https://t.co/bYoqpBhIeV",5
6,-0.3818,0.178,0.822,@BBC,0.0,"Yassine scavenged on the dump for eight years. Now he runs it. 

https://t.co/gUOhlrkv6P",6
7,-0.357,0.115,0.885,@BBC,0.0,"😺🐾 They sweat through their paws and can't taste sweet things... 

16 things you never knew about cats 👉… https://t.co/IOfDUpm49v",7
8,0.0,0.0,1.0,@BBC,0.0,"🎶 It's coming home 🎶

@Baddiel and @FrankOnTheRadio's song is sweeping the nation (again!)

Here's the story of how… https://t.co/FTaRd9YNiZ",8
9,-0.4019,0.403,0.597,@BBC,0.0,😂 How annoying is this? https://t.co/Z2vtjhPZXH,9
10,0.0,0.0,1.0,@BBC,0.0,"😲🐻 A new study reveals the hidden history of brown bears in Britain, suggesting they still roamed wild 1,500 years… https://t.co/MdvCpNLZHr",10
11,0.0,0.0,1.0,@BBC,0.0,"RT @BBCOne: Sherlock is ALL the goals on #InternationalKissingDay 😍
#Sherlock #BBCSherlock https://t.co/yTcpX43pg7",11
12,0.0,0.0,1.0,@BBC,0.0,Actual footage of me leaving the office at exactly 5pm... 👋 #FridayFeeling https://t.co/no9vchzANY,12
